Label,Value,Flag
Guadeloupe,Guadeloupe,true
Guam,Guam,true
Guatemala,Guatemala,true
Guinea,Guinea,true
Guinea-bissau,Guinea-bissau,true
Guyana,Guyana,true
Haiti,Haiti,true
Holy See (Vatican City State),Holy See (Vatican City State),true
Honduras,Honduras,true
Hong Kong,Hong Kong,true
Hungary,Hungary,true
Iceland,Iceland,true
India,India,true
Indonesia,Indonesia,true
Iran,Iran,true
Iraq,Iraq,true
Ireland,Ireland,true
Israel,Israel,true
Italy,Italy,true
Jamaica,Jamaica,true
Japan,Japan,true
Jordan,Jordan,true
Kazakhstan,Kazakhstan,true
Kenya,Kenya,true
Kiribati,Kiribati,true
Korea,Korea,true
Kuwait,Kuwait,true
Kyrgyzstan,Kyrgyzstan,true
Lao People's Democratic Republic,Lao People's Democratic Republic,true
Latvia,Latvia,true
Lebanon,Lebanon,true
Lesotho,Lesotho,true
Liberia,Liberia,true
Libyan Arab Jamahiriya,Libyan Arab Jamahiriya,true
Liechtenstein,Liechtenstein,true
Lithuania,Lithuania,true
Luxembourg,Luxembourg,true
Macao,Macao,true
Macedonia,Macedonia,true
Madagascar,Madagascar,true
Malawi,Malawi,true
Malaysia,Malaysia,true
Maldives,Maldives,true
Mali,Mali,true
Malta,Malta,true
Marshall Islands,Marshall Islands,true
Martinique,Martinique,true
Mauritania,Mauritania,true
Mauritius,Mauritius,true
Mexico,Mexico,true
Micronesia,Micronesia,true
Moldova,Moldova,true
Monaco,Monaco,true
Mongolia,Mongolia,true
Morocco,Morocco,true
Mozambique,Mozambique,true
Namibia,Namibia,true
Nauru,Nauru,true
Nepal,Nepal,true
Netherlands,Netherlands,true
Netherlands Antilles,Netherlands Antilles,true
New Caledonia,New Caledonia,true
New Zealand,New Zealand,true
Nicaragua,Nicaragua,true
Niger,Niger,true
Nigeria,Nigeria,true
Northern Mariana Islands,Northern Mariana Islands,true
Norway,Norway,true
Oman,Oman,true
Pakistan,Pakistan,true
Palau,Palau,true
Palestinian Territory,Palestinian Territory,true
Panama,Panama,true
Papua New Guinea,Papua New Guinea,true
Paraguay,Paraguay,true
Peru,Peru,true
Philippines,Philippines,true
Poland,Poland,true
Portugal,Portugal,true
Puerto Rico,Puerto Rico,true
Qatar,Qatar,true
Republic Of The Congo,Republic Of The Congo,true
Reunion,Reunion,true
Romania,Romania,true
Russian Federation,Russian Federation,true
Rwanda,Rwanda,true
Saint Kitts And Nevis,Saint Kitts And Nevis,true
Saint Lucia,Saint Lucia,true
Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,true
Samoa,Samoa,true
San Marino,San Marino,true
Sao Tome And Principe,Sao Tome And Principe,true
Saudi Arabia,Saudi Arabia,true
Senegal,Senegal,true
Serbia,Serbia,true
Seychelles,Seychelles,true
Sierra Leone,Sierra Leone,true
Singapore,Singapore,true
Slovakia,Slovakia,true
Slovenia,Slovenia,true
Solomon Islands,Solomon Islands,true
Somalia,Somalia,true
South Africa,South Africa,true
Spain,Spain,true
Sri Lanka,Sri Lanka,true
Sudan,Sudan,true
Suriname,Suriname,true
Swaziland,Swaziland,true
Sweden,Sweden,true
Switzerland,Switzerland,true
Syrian Arab Republic,Syrian Arab Republic,true
Taiwan,Taiwan,true
Tajikistan,Tajikistan,true
Tanzania,Tanzania,true
Thailand,Thailand,true
Timor-leste,Timor-leste,true
Togo,Togo,true
Tokelau,Tokelau,true
Tonga,Tonga,true
Trinidad And Tobago,Trinidad And Tobago,true
Tunisia,Tunisia,true
Turkey,Turkey,true
Turkmenistan,Turkmenistan,true
Tuvalu,Tuvalu,true
Uganda,Uganda,true
Ukraine,Ukraine,true
United Arab Emirates,United Arab Emirates,true
United Kingdom,United Kingdom,true
United States,United States,true
Uruguay,Uruguay,true
Us Virgin Islands,Us Virgin Islands,true
Uzbekistan,Uzbekistan,true
Vanuatu,Vanuatu,true
Venezuela,Venezuela,true
Vietnam,Vietnam,true
Vory Coast,Vory Coast,true
Yemen,Yemen,true
Zambia,Zambia,true
Zimbabwe,Zimbabwe,true
Other, Other, true
